R0 [km]	frag_bool	Mf [M0]	sigma_Mf[M0]	vel [km/s]	sigma_vel [km/s]	Nfrags	sigma_Nfrags
0.01	1	0.013401051924164457	0.0013873108454837877	0.01424087046838821	0.001381508604130565	7.5625	0.7043392293490403
0.020000000000000004	1	0.013636655066691882	0.0020073408246376236	0.019547982492945263	0.0033544916052517543	7.5	0.8660254037844386
0.04000000000000001	1	0.019451984958801533	0.005674027096197523	0.023793258658816888	0.004851867323009558	5.5	1.1726039399558574
0.049999999999999996	1	0.0196611334921251	0.0031841081268653517	0.02766188375894927	0.0039847446767091	5.25	0.82915619758885
0.0645774832507442	1	0.02367309040472293	0.007425331365527069	0.028786303046424055	0.003675166473588717	4.5625	1.1162856937182344
0.08340502686000295	1	0.02466526096829835	0.0032006090584323892	0.04093109848532575	0.02345273966678919	4.1875	0.6343057228182637
0.1077217345015942	1	0.04985117430862457	0.024843673458509175	6.159112554031175	2.4375431074815506	3.75	0.5590169943749475
0.13912797011035627	1	0.18770560527727392	0.12280746625185834	15.141736137593675	0.5159489806162698	3.4375	0.7880950133074057
0.17969068319023127	1	0.39523749604461966	0.16726005314023065	17.864191754768267	0.1450197354232048	2.25	0.6614378277661477
0.23207944168063885	1	0.44016435866245474	8.927242001226853e-05	18.91710966753022	0.0020801183849995185	2.0	0.0
0.2997421251594704	1	0.4620348442394576	2.9632705445117743e-06	19.355703245759287	0.0019875782129027417	2.0	0.0
0.38713184134056344	0	0.9500952816448124	0.0	19.607847375236076	0.0	1.0	0.0
0.49999999999999994	0	0.9657736242602262	0.0	19.75823810162784	0.0	1.0	0.0
0.6000000000000002	0	0.9731033425671343	0.0	19.82521260924333	0.0	1.0	0.0
0.9589428131396914	0	0.984539654416547	0.0	19.924335302210395	0.0	1.0	0.0
1.5326188647871064	0	0.9906548666878517	0.0	19.97447867063782	0.0	1.0	0.0
2.4494897427831788	0	0.9942329675818518	0.0	20.003020357284104	0.0	1.0	0.0
3.9148676411688657	0	0.996411402175468	0.0	20.02018199628392	0.0	1.0	0.0
6.256890314820031	0	0.9977595817633699	0.0	20.030744570539493	0.0	1.0	0.0
10.0	0	0.9985994383685345	0.0	20.03730830795351	0.0	1.0	0.0
